year,state,type,energySrc,amount,region
1996,AK,Total Electric Power Industry,Natural Gas,3548718,West
1996,AK,Total Electric Power Industry,Other Biomass,11985,West
1996,AK,Total Electric Power Industry,Petroleum,770676,West
1996,AK,Total Electric Power Industry,Wind,0,West
1996,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,102914,West
1996,AK,"Electric Generators, Electric Utilities",Total,4982268,West
1996,AK,"Electric Generators, Electric Utilities",Coal,229129,West
1996,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1265863,West
1996,AK,"Electric Generators, Electric Utilities",Natural Gas,2843998,West
1996,AK,"Electric Generators, Electric Utilities",Petroleum,643278,West
1996,AK,"Electric Generators, Electric Utilities",Wind,0,West
1996,AK,"Combined Heat and Power, Industrial Power",Total,937697,West
1996,AK,"Combined Heat and Power, Industrial Power",Natural Gas,704720,West
1996,AK,"Combined Heat and Power, Industrial Power",Other Biomass,11985,West
1996,AK,"Combined Heat and Power, Industrial Power",Petroleum,118078,West
1996,AK,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,102914,West
1996,AK,"Combined Heat and Power, Commercial Power",Total,208927,West
1996,AK,"Combined Heat and Power, Commercial Power",Coal,199607,West
1996,AK,"Combined Heat and Power, Commercial Power",Petroleum,9320,West
1997,AK,Total Electric Power Industry,Total,6154847,West
1997,AK,Total Electric Power Industry,Coal,442702,West
1997,AK,Total Electric Power Industry,Hydroelectric Conventional,1098953,West
1997,AK,Total Electric Power Industry,Natural Gas,3707734,West
1997,AK,Total Electric Power Industry,Other Biomass,5403,West
1997,AK,Total Electric Power Industry,Petroleum,857889,West
1997,AK,Total Electric Power Industry,Wind,0,West
1997,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,42166,West
1997,AK,"Electric Generators, Electric Utilities",Total,5108003,West
1997,AK,"Electric Generators, Electric Utilities",Coal,237165,West
1997,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1098953,West
1997,AK,"Electric Generators, Electric Utilities",Natural Gas,3031164,West
1997,AK,"Electric Generators, Electric Utilities",Petroleum,740721,West
1997,AK,"Electric Generators, Electric Utilities",Wind,0,West
1997,AK,"Combined Heat and Power, Industrial Power",Total,821498,West
1997,AK,"Combined Heat and Power, Industrial Power",Natural Gas,676570,West
1997,AK,"Combined Heat and Power, Industrial Power",Other Biomass,5403,West
1997,AK,"Combined Heat and Power, Industrial Power",Petroleum,98313,West
1997,AK,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,41212,West
1997,AK,"Combined Heat and Power, Commercial Power",Total,225346,West
1997,AK,"Combined Heat and Power, Commercial Power",Coal,205537,West
1997,AK,"Combined Heat and Power, Commercial Power",Petroleum,18855,West
1997,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,954,West
1998,AK,Total Electric Power Industry,Total,5828845,West
1998,AK,Total Electric Power Industry,Coal,524613,West
1998,AK,Total Electric Power Industry,Hydroelectric Conventional,1113332,West
1998,AK,Total Electric Power Industry,Natural Gas,3352895,West
1998,AK,Total Electric Power Industry,Petroleum,836467,West
1998,AK,Total Electric Power Industry,Wind,0,West
1998,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,1538,West
1998,AK,"Electric Generators, Electric Utilities",Total,4590270,West
1998,AK,"Electric Generators, Electric Utilities",Coal,171053,West
1998,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1113332,West
1998,AK,"Electric Generators, Electric Utilities",Natural Gas,2548971,West
1998,AK,"Electric Generators, Electric Utilities",Petroleum,756914,West
1998,AK,"Electric Generators, Electric Utilities",Wind,0,West
1998,AK,"Combined Heat and Power, Industrial Power",Total,876375,West
1998,AK,"Combined Heat and Power, Industrial Power",Natural Gas,803924,West
1998,AK,"Combined Heat and Power, Industrial Power",Petroleum,71574,West
1998,AK,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,877,West
1998,AK,"Combined Heat and Power, Electric Power",Total,211373,West
1998,AK,"Combined Heat and Power, Electric Power",Coal,210238,West
1998,AK,"Combined Heat and Power, Electric Power",Petroleum,474,West
1998,AK,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,661,West
1998,AK,"Combined Heat and Power, Commercial Power",Total,150827,West
1998,AK,"Combined Heat and Power, Commercial Power",Coal,143322,West
1998,AK,"Combined Heat and Power, Commercial Power",Petroleum,7505,West
1999,AK,Total Electric Power Industry,Total,5802308,West
1999,AK,Total Electric Power Industry,Coal,523369,West
1999,AK,Total Electric Power Industry,Hydroelectric Conventional,816608,West
1999,AK,Total Electric Power Industry,Natural Gas,3588075,West
1999,AK,Total Electric Power Industry,Petroleum,874256,West
1999,AK,Total Electric Power Industry,Wind,0,West
1999,AK,"Electric Generators, Electric Utilities",Total,4609315,West
1999,AK,"Electric Generators, Electric Utilities",Coal,156188,West
1999,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,816608,West
1999,AK,"Electric Generators, Electric Utilities",Natural Gas,2838480,West
1999,AK,"Electric Generators, Electric Utilities",Petroleum,798039,West
1999,AK,"Electric Generators, Electric Utilities",Wind,0,West
1999,AK,"Combined Heat and Power, Industrial Power",Total,813467,West
1999,AK,"Combined Heat and Power, Industrial Power",Natural Gas,749595,West
1999,AK,"Combined Heat and Power, Industrial Power",Petroleum,63872,West
1999,AK,"Combined Heat and Power, Electric Power",Total,226975,West
1999,AK,"Combined Heat and Power, Electric Power",Coal,226377,West
1999,AK,"Combined Heat and Power, Electric Power",Petroleum,598,West
1999,AK,"Combined Heat and Power, Commercial Power",Total,152551,West
1999,AK,"Combined Heat and Power, Commercial Power",Coal,140804,West
1999,AK,"Combined Heat and Power, Commercial Power",Petroleum,11747,West
2000,AK,Total Electric Power Industry,Total,6156525,West
2000,AK,Total Electric Power Industry,Coal,538673,West
2000,AK,Total Electric Power Industry,Hydroelectric Conventional,1001819,West
2000,AK,Total Electric Power Industry,Natural Gas,3975832,West
2000,AK,Total Electric Power Industry,Petroleum,640201,West
2000,AK,Total Electric Power Industry,Wind,0,West
2000,AK,"Electric Generators, Electric Utilities",Total,4937687,West
2000,AK,"Electric Generators, Electric Utilities",Coal,184901,West
2000,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1001819,West
2000,AK,"Electric Generators, Electric Utilities",Natural Gas,3193954,West
2000,AK,"Electric Generators, Electric Utilities",Petroleum,557013,West
2000,AK,"Electric Generators, Electric Utilities",Wind,0,West
2000,AK,"Combined Heat and Power, Industrial Power",Total,848205,West
2000,AK,"Combined Heat and Power, Industrial Power",Natural Gas,781878,West
2000,AK,"Combined Heat and Power, Industrial Power",Petroleum,66327,West
2000,AK,"Combined Heat and Power, Electric Power",Total,223962,West
2000,AK,"Combined Heat and Power, Electric Power",Coal,223138,West
2000,AK,"Combined Heat and Power, Electric Power",Petroleum,824,West
2000,AK,"Combined Heat and Power, Commercial Power",Total,146671,West
2000,AK,"Combined Heat and Power, Commercial Power",Coal,130634,West
2000,AK,"Combined Heat and Power, Commercial Power",Petroleum,16037,West
2001,AK,Total Electric Power Industry,Total,6743766,West
2001,AK,Total Electric Power Industry,Coal,564593,West
2001,AK,Total Electric Power Industry,Hydroelectric Conventional,1345665,West
2001,AK,Total Electric Power Industry,Natural Gas,3895569,West
2001,AK,Total Electric Power Industry,Petroleum,936989,West
2001,AK,Total Electric Power Industry,Wind,950,West
2001,AK,"Electric Generators, Electric Utilities",Total,5416191,West
2001,AK,"Electric Generators, Electric Utilities",Coal,194008,West
2001,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1345665,West
2001,AK,"Electric Generators, Electric Utilities",Natural Gas,3027807,West
2001,AK,"Electric Generators, Electric Utilities",Petroleum,847761,West
2001,AK,"Electric Generators, Electric Utilities",Wind,950,West
2001,AK,"Combined Heat and Power, Industrial Power",Total,936915,West
2001,AK,"Combined Heat and Power, Industrial Power",Natural Gas,867762,West
2001,AK,"Combined Heat and Power, Industrial Power",Petroleum,69153,West
2001,AK,"Combined Heat and Power, Electric Power",Total,237305,West
2001,AK,"Combined Heat and Power, Electric Power",Coal,233975,West
2001,AK,"Combined Heat and Power, Electric Power",Petroleum,3330,West
2001,AK,"Combined Heat and Power, Commercial Power",Total,153355,West
2001,AK,"Combined Heat and Power, Commercial Power",Coal,136610,West
2001,AK,"Combined Heat and Power, Commercial Power",Petroleum,16745,West
2002,AK,Total Electric Power Industry,Total,6767325,West
2002,AK,Total Electric Power Industry,Coal,575288,West
2002,AK,Total Electric Power Industry,Hydroelectric Conventional,1439351,West
2002,AK,Total Electric Power Industry,Natural Gas,3778162,West
2002,AK,Total Electric Power Industry,Other Biomass,11124,West
2002,AK,Total Electric Power Industry,Petroleum,962369,West
2002,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,1031,West
2002,AK,"Electric Generators, Independent Power Producers",Total,0,West
2002,AK,"Electric Generators, Independent Power Producers",Natural Gas,0,West
2002,AK,"Electric Generators, Electric Utilities",Total,5471990,West
2002,AK,"Electric Generators, Electric Utilities",Coal,204490,West
2002,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1439351,West
2002,AK,"Electric Generators, Electric Utilities",Natural Gas,2952996,West
2002,AK,"Electric Generators, Electric Utilities",Petroleum,875153,West
2002,AK,"Combined Heat and Power, Industrial Power",Total,895356,West
2002,AK,"Combined Heat and Power, Industrial Power",Natural Gas,825166,West
2002,AK,"Combined Heat and Power, Industrial Power",Other Biomass,11124,West
2002,AK,"Combined Heat and Power, Industrial Power",Petroleum,59066,West
2002,AK,"Combined Heat and Power, Electric Power",Total,243668,West
2002,AK,"Combined Heat and Power, Electric Power",Coal,240932,West
2002,AK,"Combined Heat and Power, Electric Power",Petroleum,1705,West
