year,state,type,energySrc,amount,region
1996,AK,Total Electric Power Industry,Other Biomass,11985,west
1996,AK,Total Electric Power Industry,Petroleum,770676,west
1996,AK,Total Electric Power Industry,Wind,0,west
1996,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,102914,west
1996,AK,"Electric Generators, Electric Utilities",Total,4982268,west
1996,AK,"Electric Generators, Electric Utilities",Coal,229129,west
1996,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1265863,west
1996,AK,"Electric Generators, Electric Utilities",Natural Gas,2843998,west
1996,AK,"Electric Generators, Electric Utilities",Petroleum,643278,west
1996,AK,"Electric Generators, Electric Utilities",Wind,0,west
1996,AK,"combined Heat and Power, Industrial Power",Total,937697,west
1996,AK,"combined Heat and Power, Industrial Power",Natural Gas,704720,west
1996,AK,"combined Heat and Power, Industrial Power",Other Biomass,11985,west
1996,AK,"combined Heat and Power, Industrial Power",Petroleum,118078,west
1996,AK,"combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,102914,west
1996,AK,"combined Heat and Power, Commercial Power",Total,208927,west
1996,AK,"combined Heat and Power, Commercial Power",Coal,199607,west
1996,AK,"combined Heat and Power, Commercial Power",Petroleum,9320,west
1997,AK,Total Electric Power Industry,Total,6154847,west
1997,AK,Total Electric Power Industry,Coal,442702,west
1997,AK,Total Electric Power Industry,Hydroelectric Conventional,1098953,west
1997,AK,Total Electric Power Industry,Natural Gas,3707734,west
1997,AK,Total Electric Power Industry,Other Biomass,5403,west
1997,AK,Total Electric Power Industry,Petroleum,857889,west
1997,AK,Total Electric Power Industry,Wind,0,west
1997,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,42166,west
1997,AK,"Electric Generators, Electric Utilities",Total,5108003,west
1997,AK,"Electric Generators, Electric Utilities",Coal,237165,west
1997,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1098953,west
1997,AK,"Electric Generators, Electric Utilities",Natural Gas,3031164,west
1997,AK,"Electric Generators, Electric Utilities",Petroleum,740721,west
1997,AK,"Electric Generators, Electric Utilities",Wind,0,west
1997,AK,"combined Heat and Power, Industrial Power",Total,821498,west
1997,AK,"combined Heat and Power, Industrial Power",Natural Gas,676570,west
1997,AK,"combined Heat and Power, Industrial Power",Other Biomass,5403,west
